Frequency,kH,RR(mm/h),aH,A(dB/km),Frequency,kV,RR(mm/h),aV,A(db/km),,INPUT,,,,OUTPUT
57.00,0.8032,200.0000,0.7771,49.3122,57.0000,0.7931,200.0000,0.7587,44.1692,,,,,,
58.00,0.8226,200.0000,0.7731,49.4442,58.0000,0.8129,200.0000,0.7552,44.4401,,,,,,
59.00,0.8418,200.0000,0.7693,49.5897,59.0000,0.8324,200.0000,0.7518,44.6937,,,,,,
60.00,0.8606,200.0000,0.7656,49.7130,60.0000,0.8515,200.0000,0.7486,44.9506,,,,,,
61.00,0.8791,200.0000,0.7621,49.8486,61.0000,0.8704,200.0000,0.7454,45.1759,,,,,,
62.00,0.8974,200.0000,0.7586,49.9514,62.0000,0.8889,200.0000,0.7424,45.4085,,,,,,
63.00,0.9153,200.0000,0.7552,50.0382,63.0000,0.9071,200.0000,0.7395,45.6317,,,,,,
64.00,0.9328,200.0000,0.7520,50.1375,64.0000,0.9250,200.0000,0.7366,45.8227,,,,,,
65.00,0.9501,200.0000,0.7488,50.2089,65.0000,0.9425,200.0000,0.7339,46.0264,,,,,,
66.00,0.9670,200.0000,0.7458,50.2961,66.0000,0.9598,200.0000,0.7313,46.2300,,,,,,
67.00,0.9836,200.0000,0.7428,50.3528,67.0000,0.9767,200.0000,0.7287,46.4004,,,,,,
68.00,0.9999,200.0000,0.7400,50.4335,68.0000,0.9932,200.0000,0.7262,46.5634,,,,,,
69.00,1.0159,200.0000,0.7372,50.4859,69.0000,1.0094,200.0000,0.7238,46.7249,,,,,,
70.00,1.0315,200.0000,0.7345,50.5331,70.0000,1.0253,200.0000,0.7215,46.8861,,,,,,
71.00,1.0468,200.0000,0.7318,50.5542,71.0000,1.0409,200.0000,0.7193,47.0479,,,,,,
72.00,1.0618,200.0000,0.7293,50.6039,72.0000,1.0561,200.0000,0.7171,47.1817,,,,,,
73.00,1.0764,200.0000,0.7268,50.6247,73.0000,1.0711,200.0000,0.7150,47.3224,,,,,,
74.00,1.0908,200.0000,0.7244,50.6537,74.0000,1.0857,200.0000,0.7130,47.4618,,,,,,
75.00,1.1048,200.0000,0.7221,50.6824,75.0000,1.1000,200.0000,0.7110,47.5801,,,,,,
76.00,1.1185,200.0000,0.7199,50.7163,76.0000,1.1139,200.0000,0.7091,47.6987,,,,,,
77.00,1.1320,200.0000,0.7177,50.7336,77.0000,1.1276,200.0000,0.7073,47.8270,,,,,,
78.00,1.1451,200.0000,0.7156,50.7529,78.0000,1.1410,200.0000,0.7055,47.9361,,,,,,
79.00,1.1579,200.0000,0.7135,50.7523,79.0000,1.1541,200.0000,0.7038,48.0517,,,,,,
80.00,1.1704,200.0000,0.7115,50.7595,80.0000,1.1668,200.0000,0.7021,48.1448,,,,,,
81.00,1.1827,200.0000,0.7096,50.7792,81.0000,1.1793,200.0000,0.7004,48.2243,,,,,,
82.00,1.1946,200.0000,0.7077,50.7763,82.0000,1.1915,200.0000,0.6988,48.3119,,,,,,
83.00,1.2063,200.0000,0.7058,50.7601,83.0000,1.2034,200.0000,0.6973,48.4081,,,,,,
84.00,1.2177,200.0000,0.7040,50.7534,84.0000,1.2151,200.0000,0.6958,48.4918,,,,,,
85.00,1.2289,200.0000,0.7023,50.7610,85.0000,1.2265,200.0000,0.6943,48.5593,,,,,,
86.00,1.2398,200.0000,0.7006,50.7520,86.0000,1.2376,200.0000,0.6929,48.6367,,,,,,
87.00,1.2504,200.0000,0.6990,50.7538,87.0000,1.2484,200.0000,0.6915,48.6985,,,,,,
88.00,1.2607,200.0000,0.6974,50.7400,88.0000,1.2590,200.0000,0.6902,48.7749,,,,,,
89.00,1.2708,200.0000,0.6959,50.7416,89.0000,1.2694,200.0000,0.6889,48.8403,,,,,,
90.00,1.2807,200.0000,0.6944,50.7321,90.0000,1.2795,200.0000,0.6876,48.8910,,,,,,
91.00,1.2903,200.0000,0.6929,50.7078,91.0000,1.2893,200.0000,0.6864,48.9532,,,,,,
92.00,1.2997,200.0000,0.6915,50.6997,92.0000,1.2989,200.0000,0.6852,49.0051,,,,,,
93.00,1.3089,200.0000,0.6901,50.6812,93.0000,1.3083,200.0000,0.6840,49.0469,,,,,,
94.00,1.3179,200.0000,0.6888,50.6795,94.0000,1.3175,200.0000,0.6828,49.0788,,,,,,
95.00,1.3266,200.0000,0.6875,50.6638,95.0000,1.3265,200.0000,0.6817,49.1269,,,,,,
96.00,1.3351,200.0000,0.6862,50.6385,96.0000,1.3352,200.0000,0.6806,49.1618,,,,,,
97.00,1.3434,200.0000,0.6850,50.6303,97.0000,1.3437,200.0000,0.6796,49.2133,,,,,,
98.00,1.3515,200.0000,0.6838,50.6128,98.0000,1.3520,200.0000,0.6785,49.2295,,,,,,
99.00,1.3594,200.0000,0.6826,50.5860,99.0000,1.3601,200.0000,0.6775,49.2628,,,,,,
100.00,1.3671,200.0000,0.6815,50.5769,100.0000,1.3680,200.0000,0.6765,49.2871,,,,,,
