Frequency,kH,RR(mm/h),aH,A(dB/km),Frequency,kV,RR(mm/h),aV,A(db/km),,INPUT,,,,OUTPUT
62.00,0.8974,30.0000,0.7586,11.8449,62.0000,0.8889,30.0000,0.7424,11.1037,,,,,,
63.00,0.9153,30.0000,0.7552,11.9422,63.0000,0.9071,30.0000,0.7395,11.2198,,,,,,
64.00,0.9328,30.0000,0.7520,12.0388,64.0000,0.9250,30.0000,0.7366,11.3289,,,,,,
65.00,0.9501,30.0000,0.7488,12.1294,65.0000,0.9425,30.0000,0.7339,11.4378,,,,,,
66.00,0.9670,30.0000,0.7458,12.2198,66.0000,0.9598,30.0000,0.7313,11.5451,,,,,,
67.00,0.9836,30.0000,0.7428,12.3034,67.0000,0.9767,30.0000,0.7287,11.6450,,,,,,
68.00,0.9999,30.0000,0.7400,12.3887,68.0000,0.9932,30.0000,0.7262,11.7415,,,,,,
69.00,1.0159,30.0000,0.7372,12.4677,69.0000,1.0094,30.0000,0.7238,11.8360,,,,,,
70.00,1.0315,30.0000,0.7345,12.5434,70.0000,1.0253,30.0000,0.7215,11.9287,,,,,,
71.00,1.0468,30.0000,0.7318,12.6131,71.0000,1.0409,30.0000,0.7193,12.0199,,,,,,
72.00,1.0618,30.0000,0.7293,12.6855,72.0000,1.0561,30.0000,0.7171,12.1046,,,,,,
73.00,1.0764,30.0000,0.7268,12.7510,73.0000,1.0711,30.0000,0.7150,12.1891,,,,,,
74.00,1.0908,30.0000,0.7244,12.8166,74.0000,1.0857,30.0000,0.7130,12.2715,,,,,,
75.00,1.1048,30.0000,0.7221,12.8799,75.0000,1.1000,30.0000,0.7110,12.3488,,,,,,
76.00,1.1185,30.0000,0.7199,12.9424,76.0000,1.1139,30.0000,0.7091,12.4243,,,,,,
77.00,1.1320,30.0000,0.7177,13.0010,77.0000,1.1276,30.0000,0.7073,12.5004,,,,,,
78.00,1.1451,30.0000,0.7156,13.0578,78.0000,1.1410,30.0000,0.7055,12.5717,,,,,,
79.00,1.1579,30.0000,0.7135,13.1098,79.0000,1.1541,30.0000,0.7038,12.6427,,,,,,
80.00,1.1704,30.0000,0.7115,13.1615,80.0000,1.1668,30.0000,0.7021,12.7082,,,,,,
81.00,1.1827,30.0000,0.7096,13.2142,81.0000,1.1793,30.0000,0.7004,12.7703,,,,,,
82.00,1.1946,30.0000,0.7077,13.2612,82.0000,1.1915,30.0000,0.6988,12.8324,,,,,,
83.00,1.2063,30.0000,0.7058,13.3048,83.0000,1.2034,30.0000,0.6973,12.8946,,,,,,
84.00,1.2177,30.0000,0.7040,13.3485,84.0000,1.2151,30.0000,0.6958,12.9537,,,,,,
85.00,1.2289,30.0000,0.7023,13.3936,85.0000,1.2265,30.0000,0.6943,13.0087,,,,,,
86.00,1.2398,30.0000,0.7006,13.4345,86.0000,1.2376,30.0000,0.6929,13.0640,,,,,,
87.00,1.2504,30.0000,0.6990,13.4759,87.0000,1.2484,30.0000,0.6915,13.1154,,,,,,
88.00,1.2607,30.0000,0.6974,13.5131,88.0000,1.2590,30.0000,0.6902,13.1685,,,,,,
89.00,1.2708,30.0000,0.6959,13.5521,89.0000,1.2694,30.0000,0.6889,13.2187,,,,,,
90.00,1.2807,30.0000,0.6944,13.5882,90.0000,1.2795,30.0000,0.6876,13.2650,,,,,,
91.00,1.2903,30.0000,0.6929,13.6203,91.0000,1.2893,30.0000,0.6864,13.3122,,,,,,
92.00,1.2997,30.0000,0.6915,13.6544,92.0000,1.2989,30.0000,0.6852,13.3567,,,,,,
93.00,1.3089,30.0000,0.6901,13.6857,93.0000,1.3083,30.0000,0.6840,13.3986,,,,,,
94.00,1.3179,30.0000,0.6888,13.7190,94.0000,1.3175,30.0000,0.6828,13.4378,,,,,,
95.00,1.3266,30.0000,0.6875,13.7487,95.0000,1.3265,30.0000,0.6817,13.4791,,,,,,
96.00,1.3351,30.0000,0.6862,13.7757,96.0000,1.3352,30.0000,0.6806,13.5168,,,,,,
97.00,1.3434,30.0000,0.6850,13.8049,97.0000,1.3437,30.0000,0.6796,13.5567,,,,,,
98.00,1.3515,30.0000,0.6838,13.8316,98.0000,1.3520,30.0000,0.6785,13.5895,,,,,,
99.00,1.3594,30.0000,0.6826,13.8558,99.0000,1.3601,30.0000,0.6775,13.6245,,,,,,
100.00,1.3671,30.0000,0.6815,13.8822,100.0000,1.3680,30.0000,0.6765,13.6571,,,,,,
10.00,0.0122,50.0000,1.2571,1.6637,10.0000,0.0113,50.0000,1.2156,1.3121,,,,,,
11.00,0.0177,50.0000,1.2140,2.0465,11.0000,0.0173,50.0000,1.1617,1.6293,,,,,,
12.00,0.0239,50.0000,1.1825,2.4361,12.0000,0.0246,50.0000,1.1216,1.9752,,,,,,
13.00,0.0304,50.0000,1.1586,2.8278,13.0000,0.0327,50.0000,1.0901,2.3231,,,,,,
14.00,0.0374,50.0000,1.1396,3.2269,14.0000,0.0413,50.0000,1.0646,2.6562,,,,,,
15.00,0.0448,50.0000,1.1233,3.6293,15.0000,0.0501,50.0000,1.0440,2.9743,,,,,,
16.00,0.0528,50.0000,1.1086,4.0390,16.0000,0.0590,50.0000,1.0273,3.2819,,,,,,
